"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000147655",4597.11347720835,8.01096741469036,0.264461644565292,1.16508118858084e-203,1.94498653621686e-199,"RSPO2","340419"
"ENSG00000146374",2218.61858375373,4.61630529617705,0.169031543605964,3.06216032844943e-165,2.55598522615674e-161,"RSPO3","84870"
"ENSG00000169218",1936.36208553376,2.95414294761146,0.115213704619353,3.75634494788617e-146,2.09028075200039e-142,"RSPO1","284654"
"ENSG00000184347",1214.75007839643,3.59184142230416,0.156665230247735,1.43495507860185e-117,5.98878502054481e-114,"SLIT3","6586"
"ENSG00000162761",580.125725731805,5.2238921495779,0.24699734218194,4.32233962605432e-100,1.44314275434702e-96,"LMX1A","4009"
"ENSG00000118523",1242.11296417068,3.52761488501993,0.168272778093274,9.09477399650503e-99,2.53046928496092e-95,"CCN2","1490"
"ENSG00000087510",1054.33237687908,4.21725232614132,0.216818053408422,1.69486206239339e-85,4.04200389565646e-82,"TFAP2C","7022"
"ENSG00000144057",2435.1899238893,3.06582758103051,0.162082201278033,4.6010922498575e-81,9.60132925239013e-78,"ST6GAL2","84620"
"ENSG00000153266",2341.43977434295,3.75989520287138,0.200746820337654,1.69417278875545e-79,3.14250228172039e-76,"FEZF2","55079"
"ENSG00000185559",35839.7453975201,-3.40704670240903,0.202074965855268,4.59122468142669e-65,7.66459048317372e-62,"DLK1","8788"
"ENSG00000175745",7219.40140222672,2.06860820650421,0.125239364143183,1.73474537563229e-62,2.63271266370959e-59,"NR2F1","7025"
"ENSG00000078098",262.961148799969,4.11152172676706,0.264850461549515,2.18118006821848e-55,3.03438500490328e-52,"FAP","2191"
"ENSG00000135547",236.950556052841,4.78967995261369,0.309658049807993,5.78329568669464e-55,7.42664139951387e-52,"HEY2","23493"
"ENSG00000116729",10051.0392987995,3.24977580356455,0.225615774696962,2.19084282067925e-48,2.6124235748871e-45,"WLS","79971"
"ENSG00000104081",4482.20830483083,1.7654799578609,0.123063065262408,7.46617619466675e-48,8.30935635958445e-45,"BMF","90427"
"ENSG00000143355",805.460242575101,2.51049411789835,0.17712576405166,8.30087437328479e-47,8.66092479922601e-44,"LHX9","56956"
"ENSG00000135333",6477.86962212671,2.9932213058782,0.217589358713787,2.26675476558346e-44,2.22595317980295e-41,"EPHA7","2045"
"ENSG00000158966",7046.53762983775,2.19778274696986,0.163809529533294,2.88893609949707e-42,2.67932773583356e-39,"CACHD1","57685"
"ENSG00000223573",990.77681495742,-2.84335035392803,0.213895849101208,1.40148392724e-41,1.23138803586024e-38,"TINCR","257000"
"ENSG00000157168",2327.50803595516,-1.88371018030866,0.142376532961271,3.55362011044828e-41,2.96620670619118e-38,"NRG1","3084"
"ENSG00000174498",11381.9932190212,2.18363716364343,0.166097588503431,1.10514351473781e-40,8.78536468334905e-38,"IGDCC3","9543"
"ENSG00000138795",3228.40716406764,3.24084173440047,0.247096296718891,1.7871715812451e-40,1.35613828987753e-37,"LEF1","51176"
"ENSG00000138722",4511.36952074053,2.11306293622875,0.163071646462917,1.31923368117974e-39,9.57534220591941e-37,"MMRN1","22915"
"ENSG00000170370",10806.5039605342,3.69819491916468,0.28874021216428,7.95282683877943e-39,5.53185380194099e-36,"EMX2","2018"
